test,N,M,C,total_cost_Crama’s LP,total_cost_LSG,total_cost_Privault-Finke,millis_Crama’s LP,millis_LSG,millis_Privault-Finke
rand_M1565_N214_C14_id000.txt,214,1565,14,4538,4538,4538,14.042,0.986,472.898
rand_M1576_N215_C14_id000.txt,215,1576,14,4608,4608,4608,14.628,1.089,482.3
rand_M1587_N216_C14_id000.txt,216,1587,14,5153,5153,5153,15.475,1.195,591.788
rand_M1598_N217_C14_id000.txt,217,1598,14,4593,4593,4593,13.436,1.04,461.967
rand_M15_N10_C3_id000.txt,10,15,3,54,54,54,0.105,0.005,0.057
rand_M1609_N218_C14_id000.txt,218,1609,14,4726,4726,4726,14.601,1.112,508.403
rand_M161_N47_C6_id000.txt,47,161,6,482,482,482,0.363,0.043,2.971
rand_M1620_N219_C14_id000.txt,219,1620,14,4581,4581,4581,14.343,1.044,468.259
rand_M1631_N220_C14_id000.txt,220,1631,14,4861,4861,4861,13.598,1.176,538.606
rand_M1642_N221_C14_id000.txt,221,1642,14,4692,4692,4692,14.637,1.444,503.044
rand_M1653_N222_C14_id000.txt,222,1653,14,4735,4735,4735,15.387,2.01,491.248
rand_M1665_N223_C14_id000.txt,223,1665,14,4424,4424,4424,13.151,1.397,433.833
rand_M166_N48_C6_id000.txt,48,166,6,538,538,538,0.682,0.049,3.837
rand_M1676_N224_C14_id000.txt,224,1676,14,5064,5064,5064,15.217,1.4,534.165
rand_M1687_N225_C15_id000.txt,225,1687,15,4849,4849,4849,15.09,1.265,552.843
rand_M1698_N226_C15_id000.txt,226,1698,15,5086,5086,5086,15.202,1.387,597.785
rand_M1710_N227_C15_id000.txt,227,1710,15,5034,5034,5034,15.337,1.308,609.727
rand_M171_N49_C7_id000.txt,49,171,7,490,490,490,0.507,0.052,3.868
rand_M1721_N228_C15_id000.txt,228,1721,15,5536,5536,5536,17.205,1.423,692.05
rand_M1732_N229_C15_id000.txt,229,1732,15,5229,5229,5229,17.794,1.679,645.646
rand_M1744_N230_C15_id000.txt,230,1744,15,5174,5174,5174,14.149,1.087,554.224
rand_M1755_N231_C15_id000.txt,231,1755,15,5190,5190,5190,17.009,1.196,645.154
rand_M1766_N232_C15_id000.txt,232,1766,15,5257,5257,5257,15.556,1.162,591.302
rand_M176_N50_C7_id000.txt,50,176,7,559,559,559,0.748,0.056,4.137
rand_M1778_N233_C15_id000.txt,233,1778,15,5212,5212,5212,15.447,1.237,616.825
rand_M1789_N234_C15_id000.txt,234,1789,15,5424,5424,5424,17.204,1.216,673.354
rand_M1801_N235_C15_id000.txt,235,1801,15,5267,5267,5267,16.374,1.246,637.296
rand_M1812_N236_C15_id000.txt,236,1812,15,5740,5740,5740,18.265,1.284,726.097
