test,N,M,C,total_cost_Crama’s LP,total_cost_LSG,total_cost_Privault-Finke,millis_Crama’s LP,millis_LSG,millis_Privault-Finke
rand_M3865_N391_C19_id000.txt,391,3865,19,11428,11428,11428,57.696,3.47,4283.667
rand_M3880_N392_C19_id000.txt,392,3880,19,11089,11089,11089,54.649,3.153,3504.39
rand_M3895_N393_C19_id000.txt,393,3895,19,11417,11417,11417,58.76,4.235,3992.747
rand_M38_N18_C4_id000.txt,18,38,4,154,154,154,0.146,0.013,0.362
rand_M3910_N394_C19_id000.txt,394,3910,19,11933,11933,11933,59.754,3.475,3818.088
rand_M391_N85_C9_id000.txt,85,391,9,1253,1253,1253,1.967,0.187,24.806
rand_M3925_N395_C19_id000.txt,395,3925,19,11391,11391,11391,55.77,3.023,3453.493
rand_M3940_N396_C19_id000.txt,396,3940,19,10950,10950,10950,52.586,3.018,3321.735
rand_M3955_N397_C19_id000.txt,397,3955,19,11891,11891,11891,60.581,3.46,3835.986
rand_M3970_N398_C19_id000.txt,398,3970,19,12103,12103,12103,63.086,3.597,4122.869
rand_M3985_N399_C19_id000.txt,399,3985,19,11845,11845,11845,59.719,3.533,3789.098
rand_M398_N86_C9_id000.txt,86,398,9,1243,1243,1243,1.96,0.178,23.856
rand_M4000_N400_C20_id000.txt,400,4000,20,12518,12518,12518,71.634,3.852,4486.599
rand_M4015_N401_C20_id000.txt,401,4015,20,12392,12392,12392,70.634,3.574,4394.757
rand_M4030_N402_C20_id000.txt,402,4030,20,12761,12761,12761,76.556,4.004,4562.883
rand_M4045_N403_C20_id000.txt,403,4045,20,13391,13391,13391,71.603,4.73,5003.115
rand_M405_N87_C9_id000.txt,87,405,9,1158,1158,1158,1.828,0.494,23.654
rand_M4060_N404_C20_id000.txt,404,4060,20,12428,12428,12428,67.1,3.919,4418.351
rand_M4075_N405_C20_id000.txt,405,4075,20,12550,12550,12550,66.33,3.687,4679.476
rand_M4090_N406_C20_id000.txt,406,4090,20,12230,12230,12230,62.125,3.639,4320.475
rand_M4105_N407_C20_id000.txt,407,4105,20,12302,12302,12302,67.223,3.895,4469.034
rand_M4120_N408_C20_id000.txt,408,4120,20,12748,12748,12748,66.983,4.185,4529.599
rand_M412_N88_C9_id000.txt,88,412,9,1416,1416,1416,1.997,0.256,28.006
rand_M4135_N409_C20_id000.txt,409,4135,20,13429,13429,13429,72.591,4.11,5062.587
rand_M4150_N410_C20_id000.txt,410,4150,20,12485,12485,12485,65.06,3.9,4419.989
rand_M4166_N411_C20_id000.txt,411,4166,20,12647,12647,12647,70.481,4.888,4874.106
rand_M4181_N412_C20_id000.txt,412,4181,20,12573,12573,12573,65.318,4.113,4619.4
rand_M4196_N413_C20_id000.txt,413,4196,20,12650,12650,12650,66.38,3.656,4544.574
rand_M419_N89_C9_id000.txt,89,419,9,1279,1279,1279,2.02,0.168,22.584
rand_M41_N19_C4_id000.txt,19,41,4,103,103,103,0.131,0.012,0.247
rand_M4211_N414_C20_id000.txt,414,4211,20,13024,13024,13024,72.834,3.895,4890.327
rand_M4227_N415_C20_id000.txt,415,4227,20,12947,12947,12947,68.836,4.091,4713.828
rand_M4242_N416_C20_id000.txt,416,4242,20,12479,12479,12479,67.199,3.889,4475.89
rand_M4257_N417_C20_id000.txt,417,4257,20,12733,12733,12733,71.46,3.87,4739.631
rand_M426_N90_C9_id000.txt,90,426,9,1221,1221,1221,1.814,0.175,25.273
rand_M4273_N418_C20_id000.txt,418,4273,20,12837,12837,12837,67.901,4.037,5110.461
rand_M4288_N419_C20_id000.txt,419,4288,20,13677,13677,13677,77.307,4.112,5972.854
rand_M4303_N420_C20_id000.txt,420,4303,20,13038,13038,13038,70.479,3.701,6292.665
rand_M4319_N421_C20_id000.txt,421,4319,20,13187,13187,13187,71.413,4.124,6253.334
rand_M4334_N422_C20_id000.txt,422,4334,20,13083,13083,13083,70.294,4.379,5211.793
rand_M4349_N423_C20_id000.txt,423,4349,20,13243,13243,13243,77.792,4.499,5775.871
rand_M434_N91_C9_id000.txt,91,434,9,1321,1321,1321,2.027,0.197,32.22
rand_M4365_N424_C20_id000.txt,424,4365,20,13249,13249,13249,71.914,3.906,6347.632
rand_M4380_N425_C20_id000.txt,425,4380,20,13120,13120,13120,76.114,3.931,5384.172
rand_M4396_N426_C20_id000.txt,426,4396,20,13354,13354,13354,74.184,4.032,5366.294
rand_M4411_N427_C20_id000.txt,427,4411,20,13476,13476,13476,78.25,4.293,5424.353
rand_M441_N92_C9_id000.txt,92,441,9,1218,1218,1218,2.137,0.168,21.653
rand_M4427_N428_C20_id000.txt,428,4427,20,13033,13033,13033,75.589,3.873,5510.61
rand_M4442_N429_C20_id000.txt,429,4442,20,13741,13741,13741,80.148,4.07,5914.472
rand_M4458_N430_C20_id000.txt,430,4458,20,13215,13215,13215,71.169,3.643,6046.079
rand_M4473_N431_C20_id000.txt,431,4473,20,12812,12812,12812,72.949,3.831,6932.285
rand_M4489_N432_C20_id000.txt,432,4489,20,13126,13126,13126,78.108,3.848,6998.228
rand_M448_N93_C9_id000.txt,93,448,9,1378,1378,1378,2.553,0.189,29.493
rand_M44_N20_C4_id000.txt,20,44,4,166,166,166,0.158,0.013,0.333
rand_M4505_N433_C20_id000.txt,433,4505,20,13275,13275,13275,76.479,4.098,5345.857
rand_M4520_N434_C20_id000.txt,434,4520,20,13531,13531,13531,77.129,4.191,6799.745
rand_M4536_N435_C20_id000.txt,435,4536,20,13365,13365,13365,81.919,3.985,5409.543
rand_M4551_N436_C20_id000.txt,436,4551,20,14297,14297,14297,88.989,4.336,8717.066
rand_M455_N94_C9_id000.txt,94,455,9,1254,1254,1254,3.289,0.196,43.548
rand_M4567_N437_C20_id000.txt,437,4567,20,13812,13812,13812,86.239,4.106,8713.645
rand_M4583_N438_C20_id000.txt,438,4583,20,13642,13642,13642,79.025,3.876,6097.81
rand_M4599_N439_C20_id000.txt,439,4599,20,13441,13441,13441,74.644,3.949,5560.251
rand_M4614_N440_C20_id000.txt,440,4614,20,13535,13535,13535,78.891,4.139,7112.46
rand_M462_N95_C9_id000.txt,95,462,9,1317,1317,1317,2.127,0.187,29.108
rand_M4630_N441_C21_id000.txt,441,4630,21,13884,13884,13884,80.146,4.362,8774.235
rand_M4646_N442_C21_id000.txt,442,4646,21,13649,13649,13649,76.294,4.296,6442.166
rand_M4662_N443_C21_id000.txt,443,4662,21,14198,14198,14198,86.004,4.526,7852.384
rand_M4677_N444_C21_id000.txt,444,4677,21,14142,14142,14142,89.114,4.484,6684.178
rand_M4693_N445_C21_id000.txt,445,4693,21,13982,13982,13982,85.282,4.388,6417.895
rand_M4709_N446_C21_id000.txt,446,4709,21,14679,14679,14679,87.859,4.57,7555.189
rand_M470_N96_C9_id000.txt,96,470,9,1431,1431,1431,2.057,0.2,35.899
rand_M4725_N447_C21_id000.txt,447,4725,21,14296,14296,14296,80.122,4.245,7769.384
rand_M4741_N448_C21_id000.txt,448,4741,21,15095,15095,15095,88.166,4.747,9377.892
rand_M4757_N449_C21_id000.txt,449,4757,21,14222,14222,14222,85.741,4.554,7702.561
rand_M4772_N450_C21_id000.txt,450,4772,21,13807,13807,13807,81.911,4.261,6660.57
rand_M477_N97_C9_id000.txt,97,477,9,1344,1344,1344,2.201,0.183,28.33
rand_M4788_N451_C21_id000.txt,451,4788,21,14953,14953,14953,100.831,4.761,7375.225
rand_M4804_N452_C21_id000.txt,452,4804,21,14413,14413,14413,92.411,4.529,6387.294
rand_M4820_N453_C21_id000.txt,453,4820,21,15234,15234,15234,97.395,4.857,7934.242
rand_M4836_N454_C21_id000.txt,454,4836,21,14829,14829,14829,99.411,4.601,6801.068
rand_M4852_N455_C21_id000.txt,455,4852,21,15368,15368,15368,103.164,4.715,6977.624
rand_M485_N98_C9_id000.txt,98,485,9,1361,1361,1361,2.404,0.203,31.982
rand_M4868_N456_C21_id000.txt,456,4868,21,14688,14688,14688,96.24,4.528,7539.249
rand_M4884_N457_C21_id000.txt,457,4884,21,15158,15158,15158,98.754,5.398,6914.595
rand_M48_N21_C4_id000.txt,21,48,4,149,149,149,0.184,0.018,0.333
rand_M4900_N458_C21_id000.txt,458,4900,21,15018,15018,15018,100.771,4.692,6698.104
rand_M4916_N459_C21_id000.txt,459,4916,21,14695,14695,14695,110.251,4.686,6740.216
rand_M492_N99_C9_id000.txt,99,492,9,1331,1331,1331,2.811,0.224,32.74
rand_M4932_N460_C21_id000.txt,460,4932,21,14429,14429,14429,106.18,4.781,7066.395
rand_M4949_N461_C21_id000.txt,461,4949,21,15398,15398,15398,97.452,4.875,8733.707
rand_M4965_N462_C21_id000.txt,462,4965,21,14878,14878,14878,100.414,4.484,8193.482
rand_M4981_N463_C21_id000.txt,463,4981,21,14702,14702,14702,96.157,4.48,7423.129
rand_M4997_N464_C21_id000.txt,464,4997,21,14364,14364,14364,86.523,4.626,8361.162
rand_M500_N100_C10_id000.txt,100,500,10,1595,1595,1595,2.889,0.256,51.249
rand_M5013_N465_C21_id000.txt,465,5013,21,16051,16051,16051,95.886,5.131,8222.433
rand_M5029_N466_C21_id000.txt,466,5029,21,15248,15248,15248,95.498,6.371,7074.456
rand_M5045_N467_C21_id000.txt,467,5045,21,15571,15571,15571,95.844,4.771,8035.37
rand_M5062_N468_C21_id000.txt,468,5062,21,14367,14367,14367,87.121,5.725,6412.093
rand_M5078_N469_C21_id000.txt,469,5078,21,15190,15190,15190,96.993,7.176,7207.644
rand_M507_N101_C10_id000.txt,101,507,10,1593,1593,1593,3.063,0.259,43.256
rand_M5094_N470_C21_id000.txt,470,5094,21,15257,15257,15257,102.842,5.253,6851.576
rand_M5110_N471_C21_id000.txt,471,5110,21,15181,15181,15181,99.226,5.237,6906.091
rand_M5127_N472_C21_id000.txt,472,5127,21,15412,15412,15412,93.693,5.88,7041.362
rand_M5143_N473_C21_id000.txt,473,5143,21,15210,15210,15210,89.643,4.799,6786.902
rand_M5159_N474_C21_id000.txt,474,5159,21,15061,15061,15061,91.29,4.547,6643.694
rand_M515_N102_C10_id000.txt,102,515,10,1629,1629,1629,2.621,0.24,47.781
rand_M5176_N475_C21_id000.txt,475,5176,21,15386,15386,15386,94.801,4.969,7130.248
rand_M5192_N476_C21_id000.txt,476,5192,21,15938,15938,15938,102.297,5.728,7596.43
rand_M51_N22_C4_id000.txt,22,51,4,123,123,123,0.151,0.014,0.279
rand_M5208_N477_C21_id000.txt,477,5208,21,15943,15943,15943,97.074,5.179,7558.556
rand_M5225_N478_C21_id000.txt,478,5225,21,14777,14777,14777,86.441,4.381,6377.079
rand_M522_N103_C10_id000.txt,103,522,10,1655,1655,1655,2.997,0.254,46.464
rand_M5241_N479_C21_id000.txt,479,5241,21,15698,15698,15698,95.265,4.728,7358.526
rand_M5258_N480_C21_id000.txt,480,5258,21,15540,15540,15540,96.912,4.907,7383.788
rand_M5274_N481_C21_id000.txt,481,5274,21,15537,15537,15537,97.61,6.793,7320.328
rand_M5291_N482_C21_id000.txt,482,5291,21,16171,16171,16171,98.607,4.994,7901.793
rand_M5307_N483_C21_id000.txt,483,5307,21,15169,15169,15169,95.147,4.647,7241.604
rand_M530_N104_C10_id000.txt,104,530,10,1615,1615,1615,2.895,0.258,44.453
rand_M5324_N484_C22_id000.txt,484,5324,22,17127,17127,17127,110.815,5.917,9545.36
rand_M5340_N485_C22_id000.txt,485,5340,22,16934,16934,16934,105.136,5.91,8921.863
rand_M5357_N486_C22_id000.txt,486,5357,22,16806,16806,16806,107.768,6.205,8941.554
rand_M5373_N487_C22_id000.txt,487,5373,22,16109,16109,16109,101.491,5.226,8013.833
rand_M537_N105_C10_id000.txt,105,537,10,1522,1522,1522,2.635,0.244,39.42
rand_M5390_N488_C22_id000.txt,488,5390,22,16847,16847,16847,112.623,6.162,11612.634
rand_M5406_N489_C22_id000.txt,489,5406,22,17264,17264,17264,109.039,6.386,10977.015
rand_M5423_N490_C22_id000.txt,490,5423,22,15791,15791,15791,98.307,5.213,8900.521
rand_M5439_N491_C22_id000.txt,491,5439,22,16454,16454,16454,107.693,5.81,9145.378
rand_M5456_N492_C22_id000.txt,492,5456,22,16182,16182,16182,106.117,5.982,8872.854
rand_M545_N106_C10_id000.txt,106,545,10,1512,1512,1512,3.195,0.254,45.414
rand_M5473_N493_C22_id000.txt,493,5473,22,16559,16559,16559,112.411,5.406,9031.399
rand_M5489_N494_C22_id000.txt,494,5489,22,17089,17089,17089,114.82,5.42,9452.048
rand_M5506_N495_C22_id000.txt,495,5506,22,16694,16694,16694,108.989,5.596,8667.817
rand_M5523_N496_C22_id000.txt,496,5523,22,16191,16191,16191,104.536,6.011,7917.698
rand_M5539_N497_C22_id000.txt,497,5539,22,17346,17346,17346,117.072,8.35,9565.829
rand_M553_N107_C10_id000.txt,107,553,10,1661,1661,1661,2.496,0.263,44.693
rand_M5556_N498_C22_id000.txt,498,5556,22,16593,16593,16593,101.55,5.964,8385.161
rand_M5573_N499_C22_id000.txt,499,5573,22,16272,16272,16272,106.714,7.125,8040.887
rand_M5590_N500_C22_id000.txt,500,5590,22,16559,16559,16559,113.331,5.442,8553.404
rand_M55_N23_C4_id000.txt,23,55,4,117,117,117,0.2,0.014,0.26
rand_M5606_N501_C22_id000.txt,501,5606,22,16294,16294,16294,102.092,5.128,8450.248
rand_M561_N108_C10_id000.txt,108,561,10,1556,1556,1556,2.832,0.247,45.884
rand_M5623_N502_C22_id000.txt,502,5623,22,16809,16809,16809,109.744,5.587,8966.376
rand_M5640_N503_C22_id000.txt,503,5640,22,16436,16436,16436,110.091,5.143,8695.769
rand_M5657_N504_C22_id000.txt,504,5657,22,16996,16996,16996,114.764,5.513,10172.889
rand_M5674_N505_C22_id000.txt,505,5674,22,17361,17361,17361,114.74,5.486,11023.438
rand_M568_N109_C10_id000.txt,109,568,10,1674,1674,1674,3.616,0.292,64.442
rand_M5691_N506_C22_id000.txt,506,5691,22,17167,17167,17167,109.593,5.441,9675.532
rand_M5707_N507_C22_id000.txt,507,5707,22,16172,16172,16172,108.502,5.68,8753.555
rand_M5724_N508_C22_id000.txt,508,5724,22,17355,17355,17355,112.596,5.604,10217.776
rand_M5741_N509_C22_id000.txt,509,5741,22,17596,17596,17596,126.756,5.7,10461.47
rand_M5758_N510_C22_id000.txt,510,5758,22,16592,16592,16592,103.738,5.392,8336.363
rand_M576_N110_C10_id000.txt,110,576,10,1719,1719,1719,3.379,0.28,51.651
rand_M584_N111_C10_id000.txt,111,584,10,1708,1708,1708,2.994,0.275,52.034
rand_M58_N24_C4_id000.txt,24,58,4,158,158,158,0.156,0.017,0.373
rand_M592_N112_C10_id000.txt,112,592,10,1848,1848,1848,2.82,0.303,63.432
rand_M600_N113_C10_id000.txt,113,600,10,1770,1770,1770,3.202,0.282,58.077
rand_M608_N114_C10_id000.txt,114,608,10,1804,1804,1804,3.034,0.281,58.558
rand_M616_N115_C10_id000.txt,115,616,10,1893,1893,1893,3.621,0.286,66.811
rand_M624_N116_C10_id000.txt,116,624,10,1786,1786,1786,3.559,0.284,62.105
rand_M62_N25_C5_id000.txt,25,62,5,178,178,178,0.254,0.017,0.404
rand_M632_N117_C10_id000.txt,117,632,10,1673,1673,1673,3.42,0.25,50.195
rand_M640_N118_C10_id000.txt,118,640,10,1741,1741,1741,3.511,0.262,54.345
rand_M649_N119_C10_id000.txt,119,649,10,1846,1846,1846,3.515,0.262,61.711
rand_M657_N120_C10_id000.txt,120,657,10,1920,1920,1920,3.54,0.274,62.237
rand_M665_N121_C11_id000.txt,121,665,11,2067,2067,2067,4.102,0.335,84.332
rand_M66_N26_C5_id000.txt,26,66,5,173,173,173,0.281,0.019,0.607
rand_M673_N122_C11_id000.txt,122,673,11,2037,2037,2037,4.06,0.333,80.365
rand_M682_N123_C11_id000.txt,123,682,11,2211,2211,2211,4.227,0.342,92.9
rand_M690_N124_C11_id000.txt,124,690,11,2097,2097,2097,4.918,0.36,85.36
rand_M698_N125_C11_id000.txt,125,698,11,2183,2183,2183,4.1,0.342,90.506
rand_M707_N126_C11_id000.txt,126,707,11,2044,2044,2044,5.012,0.375,90.812
rand_M70_N27_C5_id000.txt,27,70,5,223,223,223,0.321,0.022,1.076
rand_M715_N127_C11_id000.txt,127,715,11,2018,2018,2018,5.365,0.359,83.526
rand_M724_N128_C11_id000.txt,128,724,11,2048,2048,2048,4.416,0.367,80.981
rand_M732_N129_C11_id000.txt,129,732,11,2236,2236,2236,4.396,0.396,96.143
rand_M741_N130_C11_id000.txt,130,741,11,2279,2279,2279,4.598,0.401,104.078
rand_M749_N131_C11_id000.txt,131,749,11,2309,2309,2309,4.403,0.368,94.422
rand_M74_N28_C5_id000.txt,28,74,5,227,227,227,0.449,0.022,1.01
rand_M758_N132_C11_id000.txt,132,758,11,2353,2353,2353,5.443,0.427,115.823
rand_M766_N133_C11_id000.txt,133,766,11,2238,2238,2238,4.331,0.406,100.668
rand_M775_N134_C11_id000.txt,134,775,11,2180,2180,2180,4.561,0.386,96.538
rand_M784_N135_C11_id000.txt,135,784,11,2240,2240,2240,4.371,0.384,92.876
rand_M78_N29_C5_id000.txt,29,78,5,212,212,212,0.324,0.021,0.648
rand_M793_N136_C11_id000.txt,136,793,11,2392,2392,2392,5.095,0.422,115.901
rand_M801_N137_C11_id000.txt,137,801,11,2536,2536,2536,4.27,0.394,117.686
rand_M810_N138_C11_id000.txt,138,810,11,2162,2162,2162,4.92,0.347,99.073
rand_M819_N139_C11_id000.txt,139,819,11,2467,2467,2467,4.792,0.411,117.803
rand_M828_N140_C11_id000.txt,140,828,11,2526,2526,2526,5.232,0.447,133.911
rand_M82_N30_C5_id000.txt,30,82,5,243,243,243,0.298,0.023,0.879
rand_M837_N141_C11_id000.txt,141,837,11,2437,2437,2437,4.926,0.408,117.518
rand_M846_N142_C11_id000.txt,142,846,11,2329,2329,2329,5.127,0.4,111.249
rand_M855_N143_C11_id000.txt,143,855,11,2261,2261,2261,4.805,0.384,92.925
rand_M864_N144_C12_id000.txt,144,864,12,2667,2667,2667,5.526,0.515,148.875
rand_M86_N31_C5_id000.txt,31,86,5,289,289,289,0.251,0.024,1.301
rand_M873_N145_C12_id000.txt,145,873,12,2789,2789,2789,6.284,0.546,165.651
rand_M882_N146_C12_id000.txt,146,882,12,2672,2672,2672,5.833,0.503,145.068
rand_M891_N147_C12_id000.txt,147,891,12,2651,2651,2651,6.228,0.521,161.525
rand_M900_N148_C12_id000.txt,148,900,12,2782,2782,2782,6.463,0.521,169.42
rand_M909_N149_C12_id000.txt,149,909,12,2582,2582,2582,5.932,0.487,153.044
rand_M90_N32_C5_id000.txt,32,90,5,230,230,230,0.228,0.022,0.91
rand_M918_N150_C12_id000.txt,150,918,12,2631,2631,2631,5.496,0.481,152.695
rand_M927_N151_C12_id000.txt,151,927,12,2693,2693,2693,6.147,0.517,145.716
rand_M936_N152_C12_id000.txt,152,936,12,3105,3105,3105,6.611,0.606,202.206
rand_M946_N153_C12_id000.txt,153,946,12,2950,2950,2950,6.055,0.542,181.608
rand_M94_N33_C5_id000.txt,33,94,5,240,240,240,0.464,0.024,1.094
rand_M955_N154_C12_id000.txt,154,955,12,3096,3096,3096,6.758,0.581,198.366
rand_M964_N155_C12_id000.txt,155,964,12,2700,2700,2700,5.962,0.522,150.599
rand_M974_N156_C12_id000.txt,156,974,12,3087,3087,3087,6.911,0.571,186.983
rand_M983_N157_C12_id000.txt,157,983,12,2899,2899,2899,6.753,0.532,163.778
rand_M993_N158_C12_id000.txt,158,993,12,3044,3044,3044,6.587,0.547,189.906
rand_M99_N34_C5_id000.txt,34,99,5,286,286,286,0.31,0.025,1.076
